prefix_k,term_count,max_transpiled_count_2q,max_transpiled_depth,final_transpiled_count_2q,final_transpiled_depth,final_fidelity,min_fidelity,max_abs_energy_total_error,final_abs_energy_total_error,budget_pass
1,1,0,0,0,0,0.9642354970108562,0.9642354970108562,0.07902443167548528,0.07902443167548528,True
2,2,0,0,0,0,0.9642354970108562,0.9642354970108562,0.07902443167548528,0.07902443167548528,True
3,3,0,0,0,0,0.9642354970108562,0.9642354970108562,0.07902443167548528,0.07902443167548528,True
4,4,0,0,0,0,0.9642354970108562,0.9642354970108562,0.07902443167548528,0.07902443167548528,True
5,5,0,0,0,0,0.9642354970108562,0.9642354970108562,0.07902443167548528,0.07902443167548528,True
6,6,0,0,0,0,0.9642354970108562,0.9642354970108562,0.07902443167548528,0.07902443167548528,True
7,7,0,0,0,0,0.9642354970108562,0.9642354970108562,0.07902443167548528,0.07902443167548528,True
8,8,0,0,0,0,0.9642354970108562,0.9642354970108562,0.07902443167548528,0.07902443167548528,True
9,9,0,0,0,0,0.9642354970108562,0.9642354970108562,0.07902443167548528,0.07902443167548528,True
10,10,0,0,0,0,0.9642354970108562,0.9642354970108562,0.07902443167548528,0.07902443167548528,True
11,11,0,0,0,0,0.9642354970108562,0.9642354970108562,0.07902443167548528,0.07902443167548528,True
12,12,0,0,0,0,0.9642354970108562,0.9642354970108562,0.07902443167548528,0.07902443167548528,True
13,13,0,0,0,0,0.9642354970108562,0.9642354970108562,0.07902443167548528,0.07902443167548528,True
14,14,0,0,0,0,0.9642354970108562,0.9642354970108562,0.07902443167548528,0.07902443167548528,True
15,15,0,0,0,0,0.9642354970108562,0.9642354970108562,0.07902443167548528,0.07902443167548528,True
